lead_time,no_of_special_requests,avg_price_per_room,arrival_date,arrival_month,no_of_week_nights,market_segment_type,no_of_weekend_nights,no_of_adults,room_type_reserved,booking_status
5.241747015059643,0.0,4.52124495105033,26,8,1.3862943611198906,4,1.0986122886681098,2,0,0
3.044522437723423,0.0,4.941642422609304,11,7,1.6094379124341003,4,0.6931471805599453,1,0,0
3.6109179126442243,1.0986122886681098,4.577798989191959,21,10,1.6094379124341003,4,0.0,2,0,1
4.356708826689592,0.6931471805599453,4.763028270603671,7,5,0.6931471805599453,4,0.0,2,0,1
3.4965075614664802,0.0,4.454347296253507,18,7,0.6931471805599453,3,0.6931471805599453,1,0,1
0.6931471805599453,0.0,0.0,14,8,1.0986122886681098,1,0.6931471805599453,2,1,1
3.58351893845611,0.6931471805599453,4.867534450455582,28,10,1.0986122886681098,4,0.6931471805599453,2,0,1
2.995732273553991,0.6931471805599453,5.0106352940962555,24,9,0.6931471805599453,4,0.0,2,0,0
3.6888794541139363,0.6931471805599453,4.589040804058207,15,11,1.791759469228055,4,1.0986122886681098,2,0,1
4.290459441148391,0.6931471805599453,4.951592753462473,1,5,0.6931471805599453,4,1.0986122886681098,2,2,0
3.6888794541139363,0.0,4.629862798578463,14,8,1.0986122886681098,3,0.0,2,0,1
3.6375861597263857,0.0,4.564348191467836,13,10,1.3862943611198906,3,0.0,1,0,1
4.060443010546419,0.0,4.630057901495871,21,9,1.0986122886681098,3,0.0,2,0,1
5.262690188904886,0.6931471805599453,4.5591262474866845,9,8,1.3862943611198906,4,0.0,2,0,0
4.343805421853684,0.6931471805599453,4.600157644164547,24,4,1.3862943611198906,3,1.0986122886681098,1,0,1
1.9459101490553132,0.0,4.498920386145381,22,3,1.791759469228055,4,0.0,2,0,1
3.713572066704308,0.0,4.681204872264089,4,9,1.791759469228055,4,1.0986122886681098,0,1,0
0.0,0.0,4.330733340286331,7,3,1.0986122886681098,3,0.6931471805599453,1,0,1
3.4339872044851463,0.6931471805599453,4.583946549536464,15,11,1.6094379124341003,4,0.0,2,2,0
5.159055299214529,0.0,4.808111029984782,15,8,0.6931471805599453,4,0.6931471805599453,2,0,0
5.030437921392435,0.6931471805599453,4.747537427275013,6,8,0.6931471805599453,4,0.0,2,0,0
0.0,0.0,4.382026634673881,6,2,0.6931471805599453,4,0.0,1,0,1
4.543294782270004,0.0,4.52124495105033,15,4,0.6931471805599453,4,0.0,2,0,1
2.772588722239781,0.0,4.189654742026425,2,2,0.6931471805599453,2,0.0,1,0,1
4.248495242049359,0.0,4.851248708584797,17,6,1.0986122886681098,4,0.6931471805599453,2,0,1
4.6913478822291435,0.6931471805599453,4.584967478670572,24,12,1.3862943611198906,4,1.0986122886681098,2,0,0
3.6109179126442243,0.0,4.634728988229636,26,12,1.3862943611198906,4,0.6931471805599453,2,0,0
3.8066624897703196,0.0,4.330733340286331,17,2,1.3862943611198906,3,0.0,2,0,1
4.382026634673881,0.6931471805599453,4.480740107609915,28,3,1.0986122886681098,4,0.6931471805599453,2,0,1
5.030437921392435,1.0986122886681098,4.75039543814087,21,7,1.791759469228055,4,1.0986122886681098,2,2,0
4.23410650459726,0.0,4.07753744390572,29,9,1.0986122886681098,3,0.0,1,0,1
2.3978952727983707,0.6931471805599453,4.730303916744857,21,6,1.3862943611198906,4,0.0,2,0,1
5.820082930352362,0.0,4.3694478524670215,21,9,1.6094379124341003,3,0.6931471805599453,2,0,1
2.302585092994046,0.6931471805599453,5.0106352940962555,6,10,1.0986122886681098,4,0.0,2,0,1
0.6931471805599453,0.0,4.330733340286331,29,11,0.6931471805599453,3,0.0,1,0,1
5.41610040220442,0.6931471805599453,4.52124495105033,21,8,1.3862943611198906,4,1.0986122886681098,2,0,1
4.90527477843843,0.0,4.5591262474866845,17,5,1.3862943611198906,4,0.0,2,0,0
3.8066624897703196,0.6931471805599453,4.640537329825382,2,10,0.0,4,1.0986122886681098,1,0,1
0.6931471805599453,0.0,4.219507705176107,1,6,0.6931471805599453,2,0.0,1,0,1
3.713572066704308,0.0,4.860587297852597,27,6,1.0986122886681098,4,0.6931471805599453,2,0,0
3.871201010907891,0.0,4.647079589065301,1,4,1.0986122886681098,4,1.0986122886681098,2,2,1
2.4849066497880004,0.6931471805599453,4.830950258623431,21,6,1.3862943611198906,4,0.0,2,0,1
4.736198448394496,0.0,4.61512051684126,31,5,1.3862943611198906,2,0.0,1,0,0
4.499809670330265,0.6931471805599453,4.858260813670253,14,7,1.0986122886681098,4,0.0,2,2,0
3.1354942159291497,0.0,4.948759890378168,20,5,1.0986122886681098,3,0.0,2,0,1
5.075173815233827,0.0,5.240953049158466,26,5,1.3862943611198906,4,0.0,1,4,0
1.3862943611198906,0.0,4.858260813670253,29,4,0.6931471805599453,3,0.0,1,2,1
2.9444389791664403,1.0986122886681098,4.804021044733257,8,6,1.0986122886681098,4,0.0,2,0,1
3.4657359027997265,0.6931471805599453,5.422303346329028,25,8,0.6931471805599453,4,0.0,3,4,1
